Trait type,Complex or functional dimension,Castillo-Figueroa_2021,Soria_2021,Cosentino_2023,Froidevaux_2023,Crane_2022,Myhrvold_2015,Gonçalvez_2018,Geiselman_2020,Tanalgo_2022,Wilkinson_2002,Herberstein_2022,Laurindo_2020,Barbaro_2019,Stevens_2018,Murillo-García_2018,Renner_2018,Farneda_2018,Monadjem_2018,Pereira_2018,Presley_2018,Reardon_2017,Scheiner_2017,Briones-Salas_2017,Wordley_2017,García-Morales_2016,Charbonnier_2016,Farneda_2015,Cisneros_2014,Stevens_2014,Luck_2013,Stevens_2013,Hanspach_2012,Stevens_2004,Fukui_2009,Sánchez_2017,Lucho_2017,Carrasco-Rueda_2020,Pereira_2019,Coelho_2018
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inter = Narrowest breadth of skull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,greatest skull length,NA,greatest length of skull,Total skull length (TL),NA,NA,NA,NA,greatest length of skull,GSL = Greatest skull length,greatest length of skull,NA,NA,NA,NA,NA,Greatest length of skull,greatest length of skull,NA,greatest length of skull,NA,NA,NA,NA,NA,greatest length of the skull,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,braincase breadth,NA,breadth of braincase,NA,NA,NA,NA,NA,breadth of braincase,Brain = Breadth of brain case,breadth of braincase,NA,NA,NA,NA,NA,Breadth of braincase,breadth of braincase,NA,breadth of braincase,NA,NA,NA,NA,NA,breadth of braincase,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zygomatic breadth,NA,NA,Zygomatic Breadth (ZB),NA,NA,NA,NA,NA,Zyg = Zygomatic breadth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mast = Mastoid breadth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,condylobasal length,NA,NA,NA,NA,NA,condylobasal length,NA,condylobasal length,NA,NA,NA,NA,NA,Condylobasal length,condylobasal length,NA,condylobasal length,NA,NA,NA,NA,NA,condylobasal length,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,length of maxillary toothrow,Maxillary Toothrow Length (MTL),NA,NA,NA,NA,maxillary tooth row length,c-m3 = Length of upper tooth row,NA,NA,NA,NA,NA,NA,Length of maxillary toothrow,length of maxillary toothrow,NA,length of maxillary toothrow,NA,NA,NA,NA,NA,molar tooth row length,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breadth of post-orbital constriction,NA,NA,NA,NA,NA,post-orbital constriction,NA,post-orbital constriction,NA,NA,NA,NA,NA,Width across postorbital constriction,breadth of post-orbital constriction,NA,breadth of post-orbital constriction,NA,NA,NA,NA,NA,post-orbital constriction,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breadth across upper molars,NA,NA,NA,NA,NA,breadth across upper molars,NA,breadth across molars,NA,NA,NA,NA,NA,Breadth across upper molars,breadth across upper molars,NA,breadth across upper molars,NA,NA,NA,NA,NA,breadth across molars,NA,NA
Morphological,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Postorbital Width (PW),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
